condition,session,trial,timestamp,led_latency_ms,buzzer_complete_latency_ms,fan_power_latency_ms,fan_level2_latency_ms,total_control_latency_ms,success,buzzer_start_latency_ms
baseline,1,1,2026-08-09T11:40:14.796330,0.101,500.307,1162.359,1748.644,1748.644,True,
baseline,1,2,2026-08-09T11:40:21.072474,0.161,500.492,1103.023,1689.529,1689.529,True,
baseline,1,3,2026-08-09T11:40:27.347702,0.147,500.709,1100.502,1686.218,1686.218,True,
baseline,1,4,2026-08-09T11:40:33.632742,0.155,500.485,1106.541,1694.229,1694.229,True,
baseline,1,5,2026-08-09T11:40:39.908106,0.17,500.503,1102.377,1688.697,1688.697,True,
baseline,1,6,2026-08-09T11:40:46.189741,0.174,500.511,1104.681,1692.57,1692.57,True,
baseline,1,7,2026-08-09T11:40:52.467967,0.142,500.452,1101.689,1691.337,1691.337,True,
baseline,1,8,2026-08-09T11:40:58.748923,0.16,500.481,1106.287,1691.468,1691.468,True,
baseline,1,9,2026-08-09T11:41:05.026775,0.158,500.456,1104.901,1690.935,1690.935,True,
baseline,1,10,2026-08-09T11:41:11.322384,0.162,500.467,1107.367,1709.582,1709.582,True,
baseline,1,11,2026-08-09T11:41:17.629606,0.129,500.383,1099.73,1705.208,1705.208,True,
baseline,1,12,2026-08-09T11:41:23.907570,0.169,500.472,1104.414,1690.145,1690.145,True,
baseline,1,13,2026-08-09T11:41:30.185457,0.154,500.458,1104.682,1691.707,1691.707,True,
baseline,1,14,2026-08-09T11:41:36.462804,0.14,500.449,1104.701,1691.312,1691.312,True,
baseline,1,15,2026-08-09T11:41:42.749369,0.144,500.445,1100.898,1687.898,1687.898,True,
baseline,1,16,2026-08-09T11:41:49.029950,0.142,500.441,1104.925,1692.424,1692.424,True,
baseline,1,17,2026-08-09T11:41:55.311122,0.142,500.43,1102.034,1689.15,1689.15,True,
baseline,1,18,2026-08-09T11:42:01.613294,0.142,500.437,1104.582,1711.663,1711.663,True,
baseline,1,19,2026-08-09T11:42:07.895159,0.096,500.3,1087.952,1677.23,1677.23,True,
baseline,1,20,2026-08-09T11:42:14.177801,0.157,500.46,1108.525,1695.352,1695.352,True,
baseline,1,21,2026-08-09T11:42:20.455490,0.139,500.438,1103.883,1689.805,1689.805,True,
baseline,1,22,2026-08-09T11:42:26.736798,0.153,500.598,1104.451,1690.15,1690.15,True,
baseline,1,23,2026-08-09T11:42:33.014981,0.164,500.473,1104.298,1690.926,1690.926,True,
baseline,1,24,2026-08-09T11:42:39.300325,0.154,500.466,1110.628,1698.129,1698.129,True,
baseline,1,25,2026-08-09T11:42:45.581075,0.151,500.456,1102.714,1691.159,1691.159,True,
baseline,1,26,2026-08-09T11:42:51.863423,0.154,500.709,1108.925,1696.014,1696.014,True,
baseline,1,27,2026-08-09T11:42:58.146816,0.154,500.455,1108.714,1694.689,1694.689,True,
baseline,1,28,2026-08-09T11:43:04.428524,0.155,500.473,1109.873,1693.927,1693.927,True,
baseline,1,29,2026-08-09T11:43:10.702479,0.139,500.538,1101.264,1687.268,1687.268,True,
baseline,1,30,2026-08-09T11:43:16.987288,0.145,500.444,1108.359,1695.95,1695.95,True,
baseline,2,1,2026-08-09T13:37:45.330698,0.098,500.411,1107.105,1692.926,1692.926,True,
baseline,2,2,2026-08-09T13:37:51.613138,0.156,500.514,1105.983,1693.016,1693.016,True,
baseline,2,3,2026-08-09T13:37:57.895334,0.151,500.469,1106.836,1692.242,1692.242,True,
baseline,2,4,2026-08-09T13:38:04.189487,0.15,500.474,1104.365,1706.311,1706.311,True,
baseline,2,5,2026-08-09T13:38:10.490169,0.148,500.462,1106.22,1693.862,1693.862,True,
baseline,2,6,2026-08-09T13:38:16.763967,0.148,500.461,1100.432,1685.321,1685.321,True,
baseline,2,7,2026-08-09T13:38:23.038163,0.157,500.47,1102.122,1686.377,1686.377,True,
baseline,2,8,2026-08-09T13:38:29.315386,0.152,500.467,1102.65,1689.411,1689.411,True,
baseline,2,9,2026-08-09T13:38:35.586284,0.135,500.427,1099.982,1685.806,1685.806,True,
baseline,2,10,2026-08-09T13:38:41.859224,0.148,500.419,1099.935,1686.506,1686.506,True,
baseline,2,11,2026-08-09T13:38:48.138933,0.151,500.467,1102.085,1689.469,1689.469,True,
baseline,2,12,2026-08-09T13:38:54.413348,0.149,500.458,1103.664,1688.758,1688.758,True,
baseline,2,13,2026-08-09T13:39:00.689976,0.147,500.449,1104.421,1690.615,1690.615,True,
baseline,2,14,2026-08-09T13:39:06.963623,0.146,500.445,1102.383,1687.822,1687.822,True,
baseline,2,15,2026-08-09T13:39:13.236104,0.157,500.456,1100.341,1685.091,1685.091,True,
baseline,2,16,2026-08-09T13:39:19.515785,0.147,500.441,1105.882,1693.23,1693.23,True,
baseline,2,17,2026-08-09T13:39:25.799613,0.145,500.508,1102.543,1688.664,1688.664,True,
baseline,2,18,2026-08-09T13:39:32.071634,0.147,500.521,1101.641,1686.664,1686.664,True,
baseline,2,19,2026-08-09T13:39:38.364309,0.155,500.46,1102.106,1705.102,1705.102,True,
