trial,timestamp,led_latency_ms,buzzer_latency_ms,fan_power_latency_ms,fan_level2_latency_ms,total_control_latency_ms,success
1,2026-08-09T10:25:55.919331,0.094,500.316,1085.216,1671.068,1671.068,True
2,2026-08-09T10:26:02.198959,0.142,500.504,1103.478,1691.276,1691.276,True
3,2026-08-09T10:26:08.477022,0.146,500.478,1106.619,1691.711,1691.711,True
4,2026-08-09T10:26:14.750887,0.14,500.456,1101.028,1685.906,1685.906,True
5,2026-08-09T10:26:21.024590,0.145,500.466,1099.839,1685.883,1685.883,True
6,2026-08-09T10:26:27.300683,0.138,500.454,1102.378,1689.296,1689.296,True
7,2026-08-09T10:26:33.577156,0.143,500.449,1103.986,1687.382,1687.382,True
8,2026-08-09T10:26:39.857249,0.144,500.466,1104.139,1692.28,1692.28,True
9,2026-08-09T10:26:46.134005,0.142,500.45,1103.358,1689.331,1689.331,True
10,2026-08-09T10:26:52.432012,0.135,500.437,1107.328,1710.927,1710.927,True
