trial,timestamp,led_latency_ms,buzzer_start_latency_ms,fan_power_latency_ms,fan_level2_latency_ms,total_control_latency_ms,success
1,2026-08-09T11:05:56.973355,0.098,0.825,86.559,671.907,671.907,True
2,2026-08-09T11:06:02.353495,0.143,0.849,107.095,691.653,691.653,True
3,2026-08-09T11:06:07.725418,0.147,0.947,102.899,686.623,686.623,True
4,2026-08-09T11:06:13.114911,0.144,0.924,101.615,699.913,699.913,True
5,2026-08-09T11:06:18.488532,0.086,0.477,86.708,686.496,686.496,True
6,2026-08-09T11:06:23.864285,0.085,0.504,86.94,689.83,689.83,True
7,2026-08-09T11:06:29.239905,0.083,0.49,88.886,689.105,689.105,True
8,2026-08-09T11:06:34.614528,0.087,0.613,85.002,688.446,688.446,True
9,2026-08-09T11:06:39.988740,0.09,0.528,87.155,686.025,686.025,True
10,2026-08-09T11:06:45.362881,0.083,0.447,86.023,685.78,685.78,True
