condition,session,trial,timestamp,led_latency_ms,buzzer_complete_latency_ms,fan_power_latency_ms,fan_level2_latency_ms,total_control_latency_ms,success
baseline,3,1,2026-08-09T14:45:07.509843,0.097,500.302,1158.698,1745.835,1745.835,True
baseline,3,2,2026-08-09T14:45:13.805912,0.153,500.478,1105.431,1707.081,1707.081,True
baseline,3,3,2026-08-09T14:45:20.081877,0.154,500.469,1104.661,1690.195,1690.195,True
baseline,3,4,2026-08-09T14:45:26.360725,0.151,500.468,1104.634,1691.273,1691.273,True
baseline,3,5,2026-08-09T14:45:32.642753,0.163,500.491,1109.123,1694.28,1694.28,True
baseline,3,6,2026-08-09T14:45:38.922400,0.15,500.453,1104.65,1692.629,1692.629,True
baseline,3,7,2026-08-09T14:45:45.201134,0.149,500.46,1107.221,1691.995,1691.995,True
baseline,3,8,2026-08-09T14:45:51.478503,0.159,500.473,1102.91,1690.315,1690.315,True
baseline,3,9,2026-08-09T14:45:57.759783,0.15,500.453,1107.754,1692.248,1692.248,True
baseline,3,10,2026-08-09T14:46:04.037148,0.186,500.487,1104.208,1689.814,1689.814,True
baseline,3,11,2026-08-09T14:46:10.315378,0.147,500.449,1106.279,1691.756,1691.756,True
baseline,3,12,2026-08-09T14:46:16.592500,0.15,500.455,1105.668,1690.292,1690.292,True
baseline,3,13,2026-08-09T14:46:22.877867,0.145,500.459,1113.992,1700.043,1700.043,True
baseline,3,14,2026-08-09T14:46:29.151421,0.146,500.444,1101.12,1686.971,1686.971,True
baseline,3,15,2026-08-09T14:46:35.426228,0.148,500.457,1101.837,1687.368,1687.368,True
baseline,3,16,2026-08-09T14:46:41.704302,0.135,500.546,1105.001,1692.466,1692.466,True
baseline,3,17,2026-08-09T14:46:47.989594,0.146,500.436,1112.041,1698.668,1698.668,True
baseline,3,18,2026-08-09T14:46:54.292293,0.148,500.445,1107.742,1713.538,1713.538,True
baseline,3,19,2026-08-09T14:47:00.566848,0.15,500.447,1101.386,1688.947,1688.947,True
baseline,3,20,2026-08-09T14:47:06.848471,0.15,500.515,1107.879,1693.375,1693.375,True
baseline,3,21,2026-08-09T14:47:13.137140,0.147,500.446,1108.74,1696.223,1696.223,True
baseline,3,22,2026-08-09T14:47:19.411440,0.144,500.438,1104.332,1688.729,1688.729,True
baseline,3,23,2026-08-09T14:47:25.688608,0.146,500.445,1101.765,1686.91,1686.91,True
baseline,3,24,2026-08-09T14:47:31.976980,0.151,500.448,1114.425,1701.126,1701.126,True
baseline,3,25,2026-08-09T14:47:38.252014,0.146,500.444,1105.46,1689.415,1689.415,True
baseline,3,26,2026-08-09T14:47:44.547476,0.145,500.486,1103.385,1706.765,1706.765,True
baseline,3,27,2026-08-09T14:47:50.844505,0.088,500.355,1104.206,1695.343,1695.343,True
baseline,3,28,2026-08-09T14:47:57.123973,0.148,500.517,1102.167,1689.812,1689.812,True
baseline,3,29,2026-08-09T14:48:03.406654,0.148,500.452,1106.141,1694.805,1694.805,True
baseline,3,30,2026-08-09T14:48:09.694585,0.148,500.475,1111.873,1699.787,1699.787,True
