condition,session,trial,timestamp,led_latency_ms,buzzer_start_latency_ms,fan_power_latency_ms,fan_level2_latency_ms,total_control_latency_ms,success
optimized,3,1,2026-08-09T14:57:10.103201,0.098,0.585,89.88,673.733,673.733,True
optimized,3,2,2026-08-09T14:57:15.480949,0.163,0.988,105.139,690.245,690.245,True
optimized,3,3,2026-08-09T14:57:20.860860,0.156,0.891,109.841,692.893,692.893,True
optimized,3,4,2026-08-09T14:57:26.247563,0.154,0.999,111.437,697.881,697.881,True
optimized,3,5,2026-08-09T14:57:31.628802,0.155,0.905,106.199,690.463,690.463,True
optimized,3,6,2026-08-09T14:57:37.002077,0.296,1.099,103.025,687.396,687.396,True
optimized,3,7,2026-08-09T14:57:42.384039,0.159,0.902,109.05,695.547,695.547,True
optimized,3,8,2026-08-09T14:57:47.767726,0.158,0.869,110.248,694.949,694.949,True
optimized,3,9,2026-08-09T14:57:53.151220,0.156,0.886,112.726,696.17,696.17,True
optimized,3,10,2026-08-09T14:57:58.525987,0.167,1.219,101.068,685.137,685.137,True
optimized,3,11,2026-08-09T14:58:03.897569,0.15,0.752,99.485,684.278,684.278,True
optimized,3,12,2026-08-09T14:58:09.270854,0.155,0.788,103.336,686.679,686.679,True
optimized,3,13,2026-08-09T14:58:14.649195,0.151,0.884,105.946,690.583,690.583,True
optimized,3,14,2026-08-09T14:58:20.025738,0.148,0.811,104.612,688.796,688.796,True
optimized,3,15,2026-08-09T14:58:25.405509,0.151,0.801,108.046,692.956,692.956,True
optimized,3,16,2026-08-09T14:58:30.790396,0.15,0.854,111.503,697.98,697.98,True
optimized,3,17,2026-08-09T14:58:36.165641,0.148,0.844,103.736,688.438,688.438,True
optimized,3,18,2026-08-09T14:58:41.546423,0.151,0.816,107.803,691.575,691.575,True
optimized,3,19,2026-08-09T14:58:46.921629,0.195,0.831,101.226,686.305,686.305,True
optimized,3,20,2026-08-09T14:58:52.298528,0.139,0.727,104.661,688.339,688.339,True
optimized,3,21,2026-08-09T14:58:57.674196,0.149,0.816,105.631,689.584,689.584,True
optimized,3,22,2026-08-09T14:59:03.079005,0.158,1.685,113.358,713.162,713.162,True
optimized,3,23,2026-08-09T14:59:08.452198,0.092,0.486,86.022,670.672,670.672,True
optimized,3,24,2026-08-09T14:59:13.832974,0.091,0.455,85.516,669.943,669.943,True
optimized,3,25,2026-08-09T14:59:19.208820,0.09,0.434,87.497,669.441,669.441,True
optimized,3,26,2026-08-09T14:59:24.602473,0.151,0.976,106.603,691.925,691.925,True
optimized,3,27,2026-08-09T14:59:29.987958,0.15,0.861,110.692,696.843,696.843,True
optimized,3,28,2026-08-09T14:59:35.364167,0.152,0.789,102.551,687.044,687.044,True
optimized,3,29,2026-08-09T14:59:40.745424,0.152,0.999,108.551,693.35,693.35,True
optimized,3,30,2026-08-09T14:59:46.130358,0.15,0.851,109.217,694.081,694.081,True
